,Stazione,Data inizio,Data fine,Strumento,PM10,Unità di misura,F1,F2,F3,F4
0,DE AMICIS,18/12/2013,19/12/2013,FAI SWAM 5A,,ug/m3,,-1,-1,-1
1,DE AMICIS,19/12/2013,20/12/2013,FAI SWAM 5A,64.0,ug/m3,,1,1,1
2,DE AMICIS,20/12/2013,21/12/2013,FAI SWAM 5A,83.0,ug/m3,,1,1,1
3,DE AMICIS,21/12/2013,22/12/2013,FAI SWAM 5A,67.0,ug/m3,,1,1,1
4,DE AMICIS,22/12/2013,23/12/2013,FAI SWAM 5A,59.0,ug/m3,,1,1,1
5,DE AMICIS,23/12/2013,24/12/2013,FAI SWAM 5A,42.0,ug/m3,,1,1,1
6,DE AMICIS,24/12/2013,25/12/2013,FAI SWAM 5A,20.0,ug/m3,,1,1,1
7,DE AMICIS,25/12/2013,26/12/2013,FAI SWAM 5A,4.0,ug/m3,,1,1,1
8,DE AMICIS,26/12/2013,27/12/2013,FAI SWAM 5A,5.0,ug/m3,,1,1,1
9,DE AMICIS,27/12/2013,28/12/2013,FAI SWAM 5A,11.0,ug/m3,,1,1,1
10,DE AMICIS,28/12/2013,29/12/2013,FAI SWAM 5A,19.0,ug/m3,,1,1,1
11,DE AMICIS,29/12/2013,30/12/2013,FAI SWAM 5A,27.0,ug/m3,,1,1,1
12,DE AMICIS,30/12/2013,31/12/2013,FAI SWAM 5A,26.0,ug/m3,,1,1,1
13,DE AMICIS,31/12/2013,01/01/2014,FAI SWAM 5A,26.0,ug/m3,,1,1,1
14,DE AMICIS,31/12/2009,01/01/2010,FAI SWAM 5A,36.0,ug/m3,,1,1,1
15,DE AMICIS,01/01/2010,02/01/2010,FAI SWAM 5A,42.0,ug/m3,,1,1,1
16,DE AMICIS,02/01/2010,03/01/2010,FAI SWAM 5A,20.0,ug/m3,,1,1,1
17,DE AMICIS,03/01/2010,04/01/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
18,DE AMICIS,04/01/2010,05/01/2010,FAI SWAM 5A,34.0,ug/m3,,1,1,1
19,DE AMICIS,05/01/2010,06/01/2010,FAI SWAM 5A,34.0,ug/m3,,1,1,1
20,DE AMICIS,06/01/2010,07/01/2010,FAI SWAM 5A,26.0,ug/m3,,1,1,1
21,DE AMICIS,07/01/2010,08/01/2010,FAI SWAM 5A,49.0,ug/m3,,1,1,1
22,DE AMICIS,08/01/2010,09/01/2010,FAI SWAM 5A,26.0,ug/m3,,1,1,1
23,DE AMICIS,09/01/2010,10/01/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
24,DE AMICIS,10/01/2010,11/01/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
25,DE AMICIS,11/01/2010,12/01/2010,FAI SWAM 5A,30.0,ug/m3,,1,1,1
26,DE AMICIS,12/01/2010,13/01/2010,FAI SWAM 5A,54.0,ug/m3,,1,1,1
27,DE AMICIS,13/01/2010,14/01/2010,FAI SWAM 5A,75.0,ug/m3,,1,1,1
28,DE AMICIS,14/01/2010,15/01/2010,FAI SWAM 5A,58.0,ug/m3,,1,1,1
29,DE AMICIS,15/01/2010,16/01/2010,FAI SWAM 5A,62.0,ug/m3,,1,1,1
30,DE AMICIS,16/01/2010,17/01/2010,FAI SWAM 5A,54.0,ug/m3,,1,1,1
31,DE AMICIS,17/01/2010,18/01/2010,FAI SWAM 5A,57.0,ug/m3,,1,1,1
32,DE AMICIS,18/01/2010,19/01/2010,FAI SWAM 5A,72.0,ug/m3,,1,1,1
33,DE AMICIS,19/01/2010,20/01/2010,FAI SWAM 5A,53.0,ug/m3,,1,1,1
34,DE AMICIS,20/01/2010,21/01/2010,FAI SWAM 5A,42.0,ug/m3,,1,1,1
35,DE AMICIS,21/01/2010,22/01/2010,FAI SWAM 5A,56.0,ug/m3,,1,1,1
36,DE AMICIS,22/01/2010,23/01/2010,FAI SWAM 5A,63.0,ug/m3,,1,1,1
37,DE AMICIS,23/01/2010,24/01/2010,FAI SWAM 5A,68.0,ug/m3,,1,1,1
38,DE AMICIS,24/01/2010,25/01/2010,FAI SWAM 5A,70.0,ug/m3,,1,1,1
39,DE AMICIS,25/01/2010,26/01/2010,FAI SWAM 5A,69.0,ug/m3,,1,1,1
40,DE AMICIS,26/01/2010,27/01/2010,FAI SWAM 5A,60.0,ug/m3,,1,1,1
41,DE AMICIS,27/01/2010,28/01/2010,FAI SWAM 5A,42.0,ug/m3,,1,1,1
42,DE AMICIS,28/01/2010,29/01/2010,FAI SWAM 5A,39.0,ug/m3,,1,1,1
43,DE AMICIS,29/01/2010,30/01/2010,FAI SWAM 5A,55.0,ug/m3,,1,1,1
