,Stazione,Data inizio,Data fine,Strumento,PM10,Unità di misura,F1,F2,F3,F4
44,DE AMICIS,30/01/2010,31/01/2010,FAI SWAM 5A,82.0,ug/m3,,1,1,1
45,DE AMICIS,31/01/2010,01/02/2010,FAI SWAM 5A,38.0,ug/m3,,1,1,1
46,DE AMICIS,01/02/2010,02/02/2010,FAI SWAM 5A,30.0,ug/m3,,1,1,1
47,DE AMICIS,02/02/2010,03/02/2010,FAI SWAM 5A,27.0,ug/m3,,1,1,1
48,DE AMICIS,03/02/2010,04/02/2010,FAI SWAM 5A,54.0,ug/m3,,1,1,1
49,DE AMICIS,04/02/2010,05/02/2010,FAI SWAM 5A,76.0,ug/m3,,1,1,1
50,DE AMICIS,05/02/2010,06/02/2010,FAI SWAM 5A,95.0,ug/m3,,1,1,1
51,DE AMICIS,06/02/2010,07/02/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
52,DE AMICIS,07/02/2010,08/02/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
53,DE AMICIS,08/02/2010,09/02/2010,FAI SWAM 5A,35.0,ug/m3,,1,1,1
54,DE AMICIS,09/02/2010,10/02/2010,FAI SWAM 5A,53.0,ug/m3,,1,1,1
55,DE AMICIS,10/02/2010,11/02/2010,FAI SWAM 5A,39.0,ug/m3,,1,1,1
56,DE AMICIS,11/02/2010,12/02/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
57,DE AMICIS,12/02/2010,13/02/2010,FAI SWAM 5A,36.0,ug/m3,,1,1,1
58,DE AMICIS,13/02/2010,14/02/2010,FAI SWAM 5A,43.0,ug/m3,,1,1,1
59,DE AMICIS,14/02/2010,15/02/2010,FAI SWAM 5A,52.0,ug/m3,,1,1,1
60,DE AMICIS,15/02/2010,16/02/2010,FAI SWAM 5A,75.0,ug/m3,,1,1,1
61,DE AMICIS,16/02/2010,17/02/2010,FAI SWAM 5A,70.0,ug/m3,,1,1,1
62,DE AMICIS,17/02/2010,18/02/2010,FAI SWAM 5A,58.0,ug/m3,,1,1,1
63,DE AMICIS,18/02/2010,19/02/2010,FAI SWAM 5A,54.0,ug/m3,,1,1,1
64,DE AMICIS,19/02/2010,20/02/2010,FAI SWAM 5A,33.0,ug/m3,,1,1,1
65,DE AMICIS,20/02/2010,21/02/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
66,DE AMICIS,21/02/2010,22/02/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
67,DE AMICIS,22/02/2010,23/02/2010,FAI SWAM 5A,32.0,ug/m3,,1,1,1
68,DE AMICIS,23/02/2010,24/02/2010,FAI SWAM 5A,35.0,ug/m3,,1,1,1
69,DE AMICIS,24/02/2010,25/02/2010,FAI SWAM 5A,40.0,ug/m3,,1,1,1
70,DE AMICIS,25/02/2010,26/02/2010,FAI SWAM 5A,53.0,ug/m3,,1,1,1
71,DE AMICIS,26/02/2010,27/02/2010,FAI SWAM 5A,28.0,ug/m3,,1,1,1
72,DE AMICIS,27/02/2010,28/02/2010,FAI SWAM 5A,28.0,ug/m3,,1,1,1
73,DE AMICIS,28/02/2010,01/03/2010,FAI SWAM 5A,48.0,ug/m3,,1,1,1
74,DE AMICIS,01/03/2010,02/03/2010,FAI SWAM 5A,51.0,ug/m3,,1,1,1
75,DE AMICIS,02/03/2010,03/03/2010,FAI SWAM 5A,48.0,ug/m3,,1,1,1
76,DE AMICIS,03/03/2010,04/03/2010,FAI SWAM 5A,53.0,ug/m3,,1,1,1
77,DE AMICIS,04/03/2010,05/03/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
78,DE AMICIS,05/03/2010,06/03/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
79,DE AMICIS,06/03/2010,07/03/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
80,DE AMICIS,07/03/2010,08/03/2010,FAI SWAM 5A,29.0,ug/m3,,1,1,1
81,DE AMICIS,08/03/2010,09/03/2010,FAI SWAM 5A,40.0,ug/m3,,1,1,1
82,DE AMICIS,09/03/2010,10/03/2010,FAI SWAM 5A,27.0,ug/m3,,1,1,1
83,DE AMICIS,10/03/2010,11/03/2010,FAI SWAM 5A,19.0,ug/m3,,1,1,1
84,DE AMICIS,11/03/2010,12/03/2010,FAI SWAM 5A,31.0,ug/m3,,1,1,1
85,DE AMICIS,12/03/2010,13/03/2010,FAI SWAM 5A,42.0,ug/m3,,1,1,1
86,DE AMICIS,13/03/2010,14/03/2010,FAI SWAM 5A,45.0,ug/m3,,1,1,1
87,DE AMICIS,14/03/2010,15/03/2010,FAI SWAM 5A,44.0,ug/m3,,1,1,1
88,DE AMICIS,15/03/2010,16/03/2010,FAI SWAM 5A,53.0,ug/m3,,1,1,1
89,DE AMICIS,16/03/2010,17/03/2010,FAI SWAM 5A,28.0,ug/m3,,1,1,1
90,DE AMICIS,17/03/2010,18/03/2010,FAI SWAM 5A,30.0,ug/m3,,1,1,1
91,DE AMICIS,18/03/2010,19/03/2010,FAI SWAM 5A,33.0,ug/m3,,1,1,1
92,DE AMICIS,19/03/2010,20/03/2010,FAI SWAM 5A,36.0,ug/m3,,1,1,1
93,DE AMICIS,20/03/2010,21/03/2010,FAI SWAM 5A,,ug/m3,,-1,-1,-1
94,DE AMICIS,21/03/2010,22/03/2010,FAI SWAM 5A,56.0,ug/m3,,1,1,1
95,DE AMICIS,22/03/2010,23/03/2010,FAI SWAM 5A,54.0,ug/m3,,1,1,1
96,DE AMICIS,23/03/2010,24/03/2010,FAI SWAM 5A,42.0,ug/m3,,1,1,1
97,DE AMICIS,24/03/2010,25/03/2010,FAI SWAM 5A,45.0,ug/m3,,1,1,1
98,DE AMICIS,25/03/2010,26/03/2010,FAI SWAM 5A,49.0,ug/m3,,1,1,1
99,DE AMICIS,26/03/2010,27/03/2010,FAI SWAM 5A,31.0,ug/m3,,1,1,1
100,DE AMICIS,27/03/2010,28/03/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
101,DE AMICIS,28/03/2010,29/03/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
102,DE AMICIS,29/03/2010,30/03/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
103,DE AMICIS,30/03/2010,31/03/2010,FAI SWAM 5A,20.0,ug/m3,,1,1,1
104,DE AMICIS,31/03/2010,01/04/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
105,DE AMICIS,01/04/2010,02/04/2010,FAI SWAM 5A,13.0,ug/m3,,1,1,1
106,DE AMICIS,02/04/2010,03/04/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
107,DE AMICIS,03/04/2010,04/04/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
108,DE AMICIS,04/04/2010,05/04/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
109,DE AMICIS,05/04/2010,06/04/2010,FAI SWAM 5A,6.0,ug/m3,,1,1,1
110,DE AMICIS,06/04/2010,07/04/2010,FAI SWAM 5A,19.0,ug/m3,,1,1,1
111,DE AMICIS,07/04/2010,08/04/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
112,DE AMICIS,08/04/2010,09/04/2010,FAI SWAM 5A,26.0,ug/m3,,1,1,1
113,DE AMICIS,09/04/2010,10/04/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
114,DE AMICIS,10/04/2010,11/04/2010,FAI SWAM 5A,30.0,ug/m3,,1,1,1
115,DE AMICIS,11/04/2010,12/04/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
116,DE AMICIS,12/04/2010,13/04/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
117,DE AMICIS,13/04/2010,14/04/2010,FAI SWAM 5A,10.0,ug/m3,,1,1,1
118,DE AMICIS,14/04/2010,15/04/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
119,DE AMICIS,15/04/2010,16/04/2010,FAI SWAM 5A,21.0,ug/m3,,1,1,1
120,DE AMICIS,16/04/2010,17/04/2010,FAI SWAM 5A,23.0,ug/m3,,1,1,1
121,DE AMICIS,17/04/2010,18/04/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
122,DE AMICIS,18/04/2010,19/04/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
123,DE AMICIS,19/04/2010,20/04/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
124,DE AMICIS,20/04/2010,21/04/2010,FAI SWAM 5A,21.0,ug/m3,,1,1,1
125,DE AMICIS,21/04/2010,22/04/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
126,DE AMICIS,22/04/2010,23/04/2010,FAI SWAM 5A,25.0,ug/m3,,1,1,1
127,DE AMICIS,23/04/2010,24/04/2010,FAI SWAM 5A,27.0,ug/m3,,1,1,1
128,DE AMICIS,24/04/2010,25/04/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
129,DE AMICIS,25/04/2010,26/04/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
130,DE AMICIS,26/04/2010,27/04/2010,FAI SWAM 5A,31.0,ug/m3,,1,1,1
131,DE AMICIS,27/04/2010,28/04/2010,FAI SWAM 5A,28.0,ug/m3,,1,1,1
132,DE AMICIS,28/04/2010,29/04/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
133,DE AMICIS,29/04/2010,30/04/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
134,DE AMICIS,30/04/2010,01/05/2010,FAI SWAM 5A,19.0,ug/m3,,1,1,1
135,DE AMICIS,01/05/2010,02/05/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
136,DE AMICIS,02/05/2010,03/05/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
137,DE AMICIS,03/05/2010,04/05/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
138,DE AMICIS,04/05/2010,05/05/2010,FAI SWAM 5A,25.0,ug/m3,,1,1,1
139,DE AMICIS,05/05/2010,06/05/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
140,DE AMICIS,06/05/2010,07/05/2010,FAI SWAM 5A,4.0,ug/m3,,1,1,1
141,DE AMICIS,07/05/2010,08/05/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
142,DE AMICIS,08/05/2010,09/05/2010,FAI SWAM 5A,13.0,ug/m3,,1,1,1
143,DE AMICIS,09/05/2010,10/05/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
144,DE AMICIS,10/05/2010,11/05/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
145,DE AMICIS,11/05/2010,12/05/2010,FAI SWAM 5A,19.0,ug/m3,,1,1,1
146,DE AMICIS,12/05/2010,13/05/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
147,DE AMICIS,13/05/2010,14/05/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
148,DE AMICIS,14/05/2010,15/05/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
149,DE AMICIS,15/05/2010,16/05/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
150,DE AMICIS,16/05/2010,17/05/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
151,DE AMICIS,17/05/2010,18/05/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
152,DE AMICIS,18/05/2010,19/05/2010,FAI SWAM 5A,19.0,ug/m3,,1,1,1
153,DE AMICIS,19/05/2010,20/05/2010,FAI SWAM 5A,26.0,ug/m3,,1,1,1
154,DE AMICIS,20/05/2010,21/05/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
155,DE AMICIS,21/05/2010,22/05/2010,FAI SWAM 5A,13.0,ug/m3,,1,1,1
156,DE AMICIS,22/05/2010,23/05/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
157,DE AMICIS,23/05/2010,24/05/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
158,DE AMICIS,24/05/2010,25/05/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
159,DE AMICIS,25/05/2010,26/05/2010,FAI SWAM 5A,,ug/m3,,-1,-1,-1
160,DE AMICIS,26/05/2010,27/05/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
161,DE AMICIS,27/05/2010,28/05/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
162,DE AMICIS,28/05/2010,29/05/2010,FAI SWAM 5A,21.0,ug/m3,,1,1,1
163,DE AMICIS,29/05/2010,30/05/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
164,DE AMICIS,30/05/2010,31/05/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
165,DE AMICIS,31/05/2010,01/06/2010,FAI SWAM 5A,10.0,ug/m3,,1,1,1
166,DE AMICIS,01/06/2010,02/06/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
167,DE AMICIS,02/06/2010,03/06/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
168,DE AMICIS,03/06/2010,04/06/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
169,DE AMICIS,04/06/2010,05/06/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
170,DE AMICIS,05/06/2010,06/06/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
171,DE AMICIS,06/06/2010,07/06/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
172,DE AMICIS,07/06/2010,08/06/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
173,DE AMICIS,08/06/2010,09/06/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
174,DE AMICIS,09/06/2010,10/06/2010,FAI SWAM 5A,18.0,ug/m3,,1,1,1
175,DE AMICIS,10/06/2010,11/06/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
176,DE AMICIS,11/06/2010,12/06/2010,FAI SWAM 5A,27.0,ug/m3,,1,1,1
177,DE AMICIS,12/06/2010,13/06/2010,FAI SWAM 5A,28.0,ug/m3,,1,1,1
178,DE AMICIS,13/06/2010,14/06/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
179,DE AMICIS,14/06/2010,15/06/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
180,DE AMICIS,15/06/2010,16/06/2010,FAI SWAM 5A,,ug/m3,,-1,-1,-1
181,DE AMICIS,16/06/2010,17/06/2010,FAI SWAM 5A,,ug/m3,,-1,-1,-1
182,DE AMICIS,17/06/2010,18/06/2010,FAI SWAM 5A,13.0,ug/m3,,1,1,1
183,DE AMICIS,18/06/2010,19/06/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
184,DE AMICIS,19/06/2010,20/06/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
185,DE AMICIS,20/06/2010,21/06/2010,FAI SWAM 5A,4.0,ug/m3,,1,1,1
186,DE AMICIS,21/06/2010,22/06/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
187,DE AMICIS,22/06/2010,23/06/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
188,DE AMICIS,23/06/2010,24/06/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
189,DE AMICIS,24/06/2010,25/06/2010,FAI SWAM 5A,18.0,ug/m3,,1,1,1
190,DE AMICIS,25/06/2010,26/06/2010,FAI SWAM 5A,23.0,ug/m3,,1,1,1
191,DE AMICIS,26/06/2010,27/06/2010,FAI SWAM 5A,21.0,ug/m3,,1,1,1
192,DE AMICIS,27/06/2010,28/06/2010,FAI SWAM 5A,,ug/m3,,-1,-1,1
193,DE AMICIS,28/06/2010,29/06/2010,FAI SWAM 5A,23.0,ug/m3,,1,1,1
194,DE AMICIS,29/06/2010,30/06/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
195,DE AMICIS,30/06/2010,01/07/2010,FAI SWAM 5A,23.0,ug/m3,,1,1,1
196,DE AMICIS,01/07/2010,02/07/2010,FAI SWAM 5A,28.0,ug/m3,,1,1,1
197,DE AMICIS,02/07/2010,03/07/2010,FAI SWAM 5A,31.0,ug/m3,,1,1,1
198,DE AMICIS,03/07/2010,04/07/2010,FAI SWAM 5A,27.0,ug/m3,,1,1,1
199,DE AMICIS,04/07/2010,05/07/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
200,DE AMICIS,05/07/2010,06/07/2010,FAI SWAM 5A,26.0,ug/m3,,1,1,1
201,DE AMICIS,06/07/2010,07/07/2010,FAI SWAM 5A,23.0,ug/m3,,1,1,1
202,DE AMICIS,07/07/2010,08/07/2010,FAI SWAM 5A,19.0,ug/m3,,1,1,1
203,DE AMICIS,08/07/2010,09/07/2010,FAI SWAM 5A,21.0,ug/m3,,1,1,1
204,DE AMICIS,09/07/2010,10/07/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
205,DE AMICIS,10/07/2010,11/07/2010,FAI SWAM 5A,26.0,ug/m3,,1,1,1
206,DE AMICIS,11/07/2010,12/07/2010,FAI SWAM 5A,21.0,ug/m3,,1,1,1
207,DE AMICIS,12/07/2010,13/07/2010,FAI SWAM 5A,25.0,ug/m3,,1,1,1
208,DE AMICIS,13/07/2010,14/07/2010,FAI SWAM 5A,19.0,ug/m3,,1,1,1
209,DE AMICIS,14/07/2010,15/07/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
210,DE AMICIS,15/07/2010,16/07/2010,FAI SWAM 5A,31.0,ug/m3,,1,1,1
211,DE AMICIS,16/07/2010,17/07/2010,FAI SWAM 5A,32.0,ug/m3,,1,1,1
212,DE AMICIS,17/07/2010,18/07/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
213,DE AMICIS,18/07/2010,19/07/2010,FAI SWAM 5A,21.0,ug/m3,,1,1,1
214,DE AMICIS,19/07/2010,20/07/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
215,DE AMICIS,20/07/2010,21/07/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
216,DE AMICIS,21/07/2010,22/07/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
217,DE AMICIS,22/07/2010,23/07/2010,FAI SWAM 5A,29.0,ug/m3,,1,1,1
218,DE AMICIS,23/07/2010,24/07/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
219,DE AMICIS,24/07/2010,25/07/2010,FAI SWAM 5A,13.0,ug/m3,,1,1,1
220,DE AMICIS,25/07/2010,26/07/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
221,DE AMICIS,26/07/2010,27/07/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
222,DE AMICIS,27/07/2010,28/07/2010,FAI SWAM 5A,13.0,ug/m3,,1,1,1
223,DE AMICIS,28/07/2010,29/07/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
224,DE AMICIS,29/07/2010,30/07/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
225,DE AMICIS,30/07/2010,31/07/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
226,DE AMICIS,31/07/2010,01/08/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
227,DE AMICIS,01/08/2010,02/08/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
228,DE AMICIS,02/08/2010,03/08/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
229,DE AMICIS,03/08/2010,04/08/2010,FAI SWAM 5A,20.0,ug/m3,,1,1,1
230,DE AMICIS,04/08/2010,05/08/2010,FAI SWAM 5A,13.0,ug/m3,,1,1,1
231,DE AMICIS,05/08/2010,06/08/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
232,DE AMICIS,06/08/2010,07/08/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
233,DE AMICIS,07/08/2010,08/08/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
234,DE AMICIS,08/08/2010,09/08/2010,FAI SWAM 5A,13.0,ug/m3,,1,1,1
235,DE AMICIS,09/08/2010,10/08/2010,FAI SWAM 5A,18.0,ug/m3,,1,1,1
236,DE AMICIS,10/08/2010,11/08/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
237,DE AMICIS,11/08/2010,12/08/2010,FAI SWAM 5A,20.0,ug/m3,,1,1,1
238,DE AMICIS,12/08/2010,13/08/2010,FAI SWAM 5A,20.0,ug/m3,,1,1,1
239,DE AMICIS,13/08/2010,14/08/2010,FAI SWAM 5A,18.0,ug/m3,,1,1,1
240,DE AMICIS,14/08/2010,15/08/2010,FAI SWAM 5A,18.0,ug/m3,,1,1,1
241,DE AMICIS,15/08/2010,16/08/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
242,DE AMICIS,16/08/2010,17/08/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
243,DE AMICIS,17/08/2010,18/08/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
244,DE AMICIS,18/08/2010,19/08/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
245,DE AMICIS,19/08/2010,20/08/2010,FAI SWAM 5A,19.0,ug/m3,,1,1,1
246,DE AMICIS,20/08/2010,21/08/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
247,DE AMICIS,21/08/2010,22/08/2010,FAI SWAM 5A,26.0,ug/m3,,1,1,1
248,DE AMICIS,22/08/2010,23/08/2010,FAI SWAM 5A,21.0,ug/m3,,1,1,1
249,DE AMICIS,23/08/2010,24/08/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
250,DE AMICIS,24/08/2010,25/08/2010,FAI SWAM 5A,13.0,ug/m3,,1,1,1
251,DE AMICIS,25/08/2010,26/08/2010,FAI SWAM 5A,23.0,ug/m3,,1,1,1
252,DE AMICIS,26/08/2010,27/08/2010,FAI SWAM 5A,26.0,ug/m3,,1,1,1
253,DE AMICIS,27/08/2010,28/08/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
254,DE AMICIS,28/08/2010,29/08/2010,FAI SWAM 5A,20.0,ug/m3,,1,1,1
255,DE AMICIS,29/08/2010,30/08/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
256,DE AMICIS,30/08/2010,31/08/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
257,DE AMICIS,31/08/2010,01/09/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
258,DE AMICIS,01/09/2010,02/09/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
259,DE AMICIS,02/09/2010,03/09/2010,FAI SWAM 5A,20.0,ug/m3,,1,1,1
260,DE AMICIS,03/09/2010,04/09/2010,FAI SWAM 5A,25.0,ug/m3,,1,1,1
261,DE AMICIS,04/09/2010,05/09/2010,FAI SWAM 5A,21.0,ug/m3,,1,1,1
262,DE AMICIS,05/09/2010,06/09/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
263,DE AMICIS,06/09/2010,07/09/2010,FAI SWAM 5A,21.0,ug/m3,,1,1,1
264,DE AMICIS,07/09/2010,08/09/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
265,DE AMICIS,08/09/2010,09/09/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
266,DE AMICIS,09/09/2010,10/09/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
