,Stazione,Data inizio,Data fine,Strumento,PM2.5,Unità di misura,F1,F2,F3,F4
0,GIARDINI MARGHERITA,31/12/2018,01/01/2019,FAI SWAM 5A,18.0,ug/m3,,1.0,1.0,1
1,GIARDINI MARGHERITA,01/01/2019,02/01/2019,FAI SWAM 5A,48.0,ug/m3,,1.0,1.0,1
2,GIARDINI MARGHERITA,02/01/2019,03/01/2019,FAI SWAM 5A,37.0,ug/m3,,1.0,1.0,1
3,GIARDINI MARGHERITA,03/01/2019,04/01/2019,FAI SWAM 5A,11.0,ug/m3,,1.0,1.0,1
4,GIARDINI MARGHERITA,04/01/2019,05/01/2019,FAI SWAM 5A,10.0,ug/m3,,1.0,1.0,1
5,GIARDINI MARGHERITA,05/01/2019,06/01/2019,FAI SWAM 5A,25.0,ug/m3,,1.0,1.0,1
6,GIARDINI MARGHERITA,06/01/2019,07/01/2019,FAI SWAM 5A,19.0,ug/m3,,1.0,1.0,1
7,GIARDINI MARGHERITA,07/01/2019,08/01/2019,FAI SWAM 5A,33.0,ug/m3,,1.0,1.0,1
8,GIARDINI MARGHERITA,08/01/2019,09/01/2019,FAI SWAM 5A,61.0,ug/m3,,1.0,1.0,1
9,GIARDINI MARGHERITA,09/01/2019,10/01/2019,FAI SWAM 5A,41.0,ug/m3,,1.0,1.0,1
10,GIARDINI MARGHERITA,10/01/2019,11/01/2019,FAI SWAM 5A,10.0,ug/m3,,1.0,1.0,1
11,GIARDINI MARGHERITA,11/01/2019,12/01/2019,FAI SWAM 5A,15.0,ug/m3,,1.0,1.0,1
12,GIARDINI MARGHERITA,12/01/2019,13/01/2019,FAI SWAM 5A,15.0,ug/m3,,1.0,1.0,1
13,GIARDINI MARGHERITA,13/01/2019,14/01/2019,FAI SWAM 5A,35.0,ug/m3,,1.0,1.0,1
14,GIARDINI MARGHERITA,14/01/2019,15/01/2019,FAI SWAM 5A,17.0,ug/m3,,1.0,1.0,1
15,GIARDINI MARGHERITA,15/01/2019,16/01/2019,FAI SWAM 5A,6.0,ug/m3,,1.0,1.0,1
16,GIARDINI MARGHERITA,16/01/2019,17/01/2019,FAI SWAM 5A,7.0,ug/m3,,1.0,1.0,1
17,GIARDINI MARGHERITA,17/01/2019,18/01/2019,FAI SWAM 5A,23.0,ug/m3,,1.0,1.0,1
18,GIARDINI MARGHERITA,18/01/2019,19/01/2019,FAI SWAM 5A,36.0,ug/m3,,1.0,1.0,1
19,GIARDINI MARGHERITA,19/01/2019,20/01/2019,FAI SWAM 5A,7.0,ug/m3,,1.0,1.0,1
20,GIARDINI MARGHERITA,20/01/2019,21/01/2019,FAI SWAM 5A,23.0,ug/m3,,1.0,1.0,1
21,GIARDINI MARGHERITA,21/01/2019,22/01/2019,FAI SWAM 5A,37.0,ug/m3,,1.0,1.0,1
22,GIARDINI MARGHERITA,22/01/2019,23/01/2019,FAI SWAM 5A,28.0,ug/m3,,1.0,1.0,1
23,GIARDINI MARGHERITA,23/01/2019,24/01/2019,FAI SWAM 5A,12.0,ug/m3,,1.0,1.0,1
24,GIARDINI MARGHERITA,24/01/2019,25/01/2019,FAI SWAM 5A,21.0,ug/m3,,1.0,1.0,1
25,GIARDINI MARGHERITA,25/01/2019,26/01/2019,FAI SWAM 5A,,ug/m3,,-1.0,-1.0,-1
26,GIARDINI MARGHERITA,26/01/2019,27/01/2019,FAI SWAM 5A,30.0,ug/m3,,1.0,1.0,1
27,GIARDINI MARGHERITA,27/01/2019,28/01/2019,FAI SWAM 5A,55.0,ug/m3,,1.0,1.0,1
28,GIARDINI MARGHERITA,28/01/2019,29/01/2019,FAI SWAM 5A,32.0,ug/m3,,1.0,1.0,1
29,GIARDINI MARGHERITA,29/01/2019,30/01/2019,FAI SWAM 5A,10.0,ug/m3,,1.0,1.0,1
30,GIARDINI MARGHERITA,30/01/2019,31/01/2019,FAI SWAM 5A,16.0,ug/m3,,1.0,1.0,1
31,GIARDINI MARGHERITA,31/01/2019,01/02/2019,FAI SWAM 5A,21.0,ug/m3,,1.0,1.0,1
32,GIARDINI MARGHERITA,01/02/2019,02/02/2019,FAI SWAM 5A,15.0,ug/m3,,1.0,1.0,1
33,GIARDINI MARGHERITA,02/02/2019,03/02/2019,FAI SWAM 5A,13.0,ug/m3,,1.0,1.0,1
34,GIARDINI MARGHERITA,03/02/2019,04/02/2019,FAI SWAM 5A,16.0,ug/m3,,1.0,1.0,1
