,Stazione,Data inizio,Data fine,Strumento,PM2.5,Unità di misura,F1,F2,F3,F4
0,GIARDINI MARGHERITA,31/12/2015,01/01/2016,FAI SWAM 5A,23.0,ug/m3,,1,1.0,1.0
1,GIARDINI MARGHERITA,01/01/2016,02/01/2016,FAI SWAM 5A,37.0,ug/m3,,1,1.0,1.0
2,GIARDINI MARGHERITA,02/01/2016,03/01/2016,FAI SWAM 5A,39.0,ug/m3,,1,1.0,1.0
3,GIARDINI MARGHERITA,03/01/2016,04/01/2016,FAI SWAM 5A,,ug/m3,,-1,-1.0,-1.0
4,GIARDINI MARGHERITA,04/01/2016,05/01/2016,FAI SWAM 5A,,ug/m3,,-1,-1.0,-1.0
5,GIARDINI MARGHERITA,05/01/2016,06/01/2016,FAI SWAM 5A,25.0,ug/m3,,1,1.0,1.0
6,GIARDINI MARGHERITA,06/01/2016,07/01/2016,FAI SWAM 5A,22.0,ug/m3,,1,1.0,1.0
7,GIARDINI MARGHERITA,07/01/2016,08/01/2016,FAI SWAM 5A,14.0,ug/m3,,1,1.0,1.0
8,GIARDINI MARGHERITA,08/01/2016,09/01/2016,FAI SWAM 5A,41.0,ug/m3,,1,1.0,1.0
9,GIARDINI MARGHERITA,09/01/2016,10/01/2016,FAI SWAM 5A,52.0,ug/m3,,1,1.0,1.0
10,GIARDINI MARGHERITA,10/01/2016,11/01/2016,FAI SWAM 5A,15.0,ug/m3,,1,1.0,1.0
11,GIARDINI MARGHERITA,11/01/2016,12/01/2016,FAI SWAM 5A,7.0,ug/m3,,1,1.0,1.0
12,GIARDINI MARGHERITA,12/01/2016,13/01/2016,FAI SWAM 5A,7.0,ug/m3,,1,1.0,1.0
13,GIARDINI MARGHERITA,13/01/2016,14/01/2016,FAI SWAM 5A,6.0,ug/m3,,1,1.0,1.0
14,GIARDINI MARGHERITA,14/01/2016,15/01/2016,FAI SWAM 5A,15.0,ug/m3,,1,1.0,1.0
15,GIARDINI MARGHERITA,15/01/2016,16/01/2016,FAI SWAM 5A,8.0,ug/m3,,1,1.0,1.0
16,GIARDINI MARGHERITA,16/01/2016,17/01/2016,FAI SWAM 5A,20.0,ug/m3,,1,1.0,1.0
17,GIARDINI MARGHERITA,17/01/2016,18/01/2016,FAI SWAM 5A,6.0,ug/m3,,1,1.0,1.0
18,GIARDINI MARGHERITA,18/01/2016,19/01/2016,FAI SWAM 5A,7.0,ug/m3,,1,1.0,1.0
19,GIARDINI MARGHERITA,19/01/2016,20/01/2016,FAI SWAM 5A,23.0,ug/m3,,1,1.0,1.0
20,GIARDINI MARGHERITA,20/01/2016,21/01/2016,FAI SWAM 5A,35.0,ug/m3,,1,1.0,1.0
21,GIARDINI MARGHERITA,21/01/2016,22/01/2016,FAI SWAM 5A,51.0,ug/m3,,1,1.0,1.0
22,GIARDINI MARGHERITA,22/01/2016,23/01/2016,FAI SWAM 5A,57.0,ug/m3,,1,1.0,1.0
23,GIARDINI MARGHERITA,23/01/2016,24/01/2016,FAI SWAM 5A,54.0,ug/m3,,1,1.0,1.0
24,GIARDINI MARGHERITA,24/01/2016,25/01/2016,FAI SWAM 5A,50.0,ug/m3,,1,1.0,1.0
25,GIARDINI MARGHERITA,25/01/2016,26/01/2016,FAI SWAM 5A,36.0,ug/m3,,1,1.0,1.0
26,GIARDINI MARGHERITA,26/01/2016,27/01/2016,FAI SWAM 5A,19.0,ug/m3,,1,1.0,1.0
27,GIARDINI MARGHERITA,27/01/2016,28/01/2016,FAI SWAM 5A,27.0,ug/m3,,1,1.0,1.0
28,GIARDINI MARGHERITA,28/01/2016,29/01/2016,FAI SWAM 5A,50.0,ug/m3,,1,1.0,1.0
29,GIARDINI MARGHERITA,29/01/2016,30/01/2016,FAI SWAM 5A,36.0,ug/m3,,1,1.0,1.0
30,GIARDINI MARGHERITA,30/01/2016,31/01/2016,FAI SWAM 5A,81.0,ug/m3,,1,1.0,1.0
31,GIARDINI MARGHERITA,31/01/2016,01/02/2016,FAI SWAM 5A,30.0,ug/m3,,1,1.0,1.0
32,GIARDINI MARGHERITA,01/02/2016,02/02/2016,FAI SWAM 5A,24.0,ug/m3,,1,1.0,1.0
33,GIARDINI MARGHERITA,02/02/2016,03/02/2016,FAI SWAM 5A,27.0,ug/m3,,1,1.0,1.0
34,GIARDINI MARGHERITA,03/02/2016,04/02/2016,FAI SWAM 5A,30.0,ug/m3,,1,1.0,1.0
35,GIARDINI MARGHERITA,04/02/2016,05/02/2016,FAI SWAM 5A,6.0,ug/m3,,1,1.0,1.0
36,GIARDINI MARGHERITA,05/02/2016,06/02/2016,FAI SWAM 5A,17.0,ug/m3,,1,1.0,1.0
37,GIARDINI MARGHERITA,06/02/2016,07/02/2016,FAI SWAM 5A,32.0,ug/m3,,1,1.0,1.0
38,GIARDINI MARGHERITA,07/02/2016,08/02/2016,FAI SWAM 5A,12.0,ug/m3,,1,1.0,1.0
39,GIARDINI MARGHERITA,08/02/2016,09/02/2016,FAI SWAM 5A,17.0,ug/m3,,1,1.0,1.0
40,GIARDINI MARGHERITA,09/02/2016,10/02/2016,FAI SWAM 5A,10.0,ug/m3,,1,1.0,1.0
41,GIARDINI MARGHERITA,10/02/2016,11/02/2016,FAI SWAM 5A,4.0,ug/m3,,1,1.0,1.0
42,GIARDINI MARGHERITA,11/02/2016,12/02/2016,FAI SWAM 5A,9.0,ug/m3,,1,1.0,1.0
43,GIARDINI MARGHERITA,12/02/2016,13/02/2016,FAI SWAM 5A,23.0,ug/m3,,1,1.0,1.0
44,GIARDINI MARGHERITA,13/02/2016,14/02/2016,FAI SWAM 5A,24.0,ug/m3,,1,1.0,1.0
45,GIARDINI MARGHERITA,14/02/2016,15/02/2016,FAI SWAM 5A,33.0,ug/m3,,1,1.0,1.0
46,GIARDINI MARGHERITA,15/02/2016,16/02/2016,FAI SWAM 5A,17.0,ug/m3,,1,1.0,1.0
47,GIARDINI MARGHERITA,16/02/2016,17/02/2016,FAI SWAM 5A,7.0,ug/m3,,1,1.0,1.0
48,GIARDINI MARGHERITA,17/02/2016,18/02/2016,FAI SWAM 5A,5.0,ug/m3,,1,1.0,1.0
49,GIARDINI MARGHERITA,18/02/2016,19/02/2016,FAI SWAM 5A,,ug/m3,,-1,-1.0,-1.0
50,GIARDINI MARGHERITA,19/02/2016,20/02/2016,FAI SWAM 5A,,ug/m3,,-1,-1.0,-1.0
51,GIARDINI MARGHERITA,20/02/2016,21/02/2016,FAI SWAM 5A,,ug/m3,,-1,-1.0,1.0
52,GIARDINI MARGHERITA,21/02/2016,22/02/2016,FAI SWAM 5A,3.0,ug/m3,,1,1.0,1.0
53,GIARDINI MARGHERITA,22/02/2016,23/02/2016,FAI SWAM 5A,20.0,ug/m3,,1,1.0,1.0
54,GIARDINI MARGHERITA,23/02/2016,24/02/2016,FAI SWAM 5A,15.0,ug/m3,,1,1.0,1.0
55,GIARDINI MARGHERITA,24/02/2016,25/02/2016,FAI SWAM 5A,14.0,ug/m3,,1,1.0,1.0
56,GIARDINI MARGHERITA,25/02/2016,26/02/2016,FAI SWAM 5A,11.0,ug/m3,,1,1.0,1.0
57,GIARDINI MARGHERITA,26/02/2016,27/02/2016,FAI SWAM 5A,19.0,ug/m3,,1,1.0,1.0
58,GIARDINI MARGHERITA,27/02/2016,28/02/2016,FAI SWAM 5A,14.0,ug/m3,,1,1.0,1.0
59,GIARDINI MARGHERITA,28/02/2016,29/02/2016,FAI SWAM 5A,16.0,ug/m3,,1,1.0,1.0
60,GIARDINI MARGHERITA,29/02/2016,01/03/2016,FAI SWAM 5A,5.0,ug/m3,,1,1.0,1.0
61,GIARDINI MARGHERITA,01/03/2016,02/03/2016,FAI SWAM 5A,17.0,ug/m3,,1,1.0,1.0
62,GIARDINI MARGHERITA,02/03/2016,03/03/2016,FAI SWAM 5A,5.0,ug/m3,,1,1.0,1.0
63,GIARDINI MARGHERITA,03/03/2016,04/03/2016,FAI SWAM 5A,1.0,ug/m3,,1,1.0,1.0
64,GIARDINI MARGHERITA,04/03/2016,05/03/2016,FAI SWAM 5A,6.0,ug/m3,,1,1.0,1.0
65,GIARDINI MARGHERITA,05/03/2016,06/03/2016,FAI SWAM 5A,4.0,ug/m3,,1,1.0,1.0
66,GIARDINI MARGHERITA,06/03/2016,07/03/2016,FAI SWAM 5A,22.0,ug/m3,,1,1.0,1.0
67,GIARDINI MARGHERITA,07/03/2016,08/03/2016,FAI SWAM 5A,18.0,ug/m3,,1,1.0,1.0
68,GIARDINI MARGHERITA,08/03/2016,09/03/2016,FAI SWAM 5A,5.0,ug/m3,,1,1.0,-1.0
69,GIARDINI MARGHERITA,09/03/2016,10/03/2016,FAI SWAM 5A,,ug/m3,,-1,-1.0,-1.0
70,GIARDINI MARGHERITA,10/03/2016,11/03/2016,FAI SWAM 5A,18.0,ug/m3,,1,1.0,1.0
71,GIARDINI MARGHERITA,11/03/2016,12/03/2016,FAI SWAM 5A,12.0,ug/m3,,1,1.0,1.0
72,GIARDINI MARGHERITA,12/03/2016,13/03/2016,FAI SWAM 5A,19.0,ug/m3,,1,1.0,1.0
73,GIARDINI MARGHERITA,13/03/2016,14/03/2016,FAI SWAM 5A,10.0,ug/m3,,1,1.0,1.0
74,GIARDINI MARGHERITA,14/03/2016,15/03/2016,FAI SWAM 5A,10.0,ug/m3,,1,1.0,1.0
75,GIARDINI MARGHERITA,15/03/2016,16/03/2016,FAI SWAM 5A,15.0,ug/m3,,1,1.0,1.0
76,GIARDINI MARGHERITA,16/03/2016,17/03/2016,FAI SWAM 5A,8.0,ug/m3,,1,1.0,1.0
77,GIARDINI MARGHERITA,17/03/2016,18/03/2016,FAI SWAM 5A,24.0,ug/m3,,1,1.0,1.0
78,GIARDINI MARGHERITA,18/03/2016,19/03/2016,FAI SWAM 5A,26.0,ug/m3,,1,1.0,1.0
79,GIARDINI MARGHERITA,19/03/2016,20/03/2016,FAI SWAM 5A,14.0,ug/m3,,1,1.0,1.0
80,GIARDINI MARGHERITA,20/03/2016,21/03/2016,FAI SWAM 5A,,ug/m3,,-1,-1.0,-1.0
81,GIARDINI MARGHERITA,21/03/2016,22/03/2016,FAI SWAM 5A,12.0,ug/m3,,1,1.0,1.0
82,GIARDINI MARGHERITA,22/03/2016,23/03/2016,FAI SWAM 5A,17.0,ug/m3,,1,1.0,1.0
83,GIARDINI MARGHERITA,23/03/2016,24/03/2016,FAI SWAM 5A,5.0,ug/m3,,1,1.0,1.0
84,GIARDINI MARGHERITA,24/03/2016,25/03/2016,FAI SWAM 5A,6.0,ug/m3,,1,1.0,1.0
85,GIARDINI MARGHERITA,25/03/2016,26/03/2016,FAI SWAM 5A,13.0,ug/m3,,1,1.0,1.0
86,GIARDINI MARGHERITA,26/03/2016,27/03/2016,FAI SWAM 5A,20.0,ug/m3,,1,1.0,1.0
87,GIARDINI MARGHERITA,27/03/2016,28/03/2016,FAI SWAM 5A,25.0,ug/m3,,1,1.0,1.0
88,GIARDINI MARGHERITA,28/03/2016,29/03/2016,FAI SWAM 5A,18.0,ug/m3,,1,1.0,1.0
89,GIARDINI MARGHERITA,29/03/2016,30/03/2016,FAI SWAM 5A,6.0,ug/m3,,1,1.0,1.0
90,GIARDINI MARGHERITA,30/03/2016,31/03/2016,FAI SWAM 5A,8.0,ug/m3,,1,1.0,1.0
91,GIARDINI MARGHERITA,31/03/2016,01/04/2016,FAI SWAM 5A,18.0,ug/m3,,1,1.0,1.0
92,GIARDINI MARGHERITA,01/04/2016,02/04/2016,FAI SWAM 5A,23.0,ug/m3,,1,1.0,1.0
93,GIARDINI MARGHERITA,02/04/2016,03/04/2016,FAI SWAM 5A,20.0,ug/m3,,1,1.0,1.0
94,GIARDINI MARGHERITA,03/04/2016,04/04/2016,FAI SWAM 5A,20.0,ug/m3,,1,1.0,1.0
95,GIARDINI MARGHERITA,04/04/2016,05/04/2016,FAI SWAM 5A,29.0,ug/m3,,1,1.0,1.0
96,GIARDINI MARGHERITA,05/04/2016,06/04/2016,FAI SWAM 5A,26.0,ug/m3,,1,1.0,1.0
97,GIARDINI MARGHERITA,06/04/2016,07/04/2016,FAI SWAM 5A,42.0,ug/m3,,1,1.0,1.0
98,GIARDINI MARGHERITA,07/04/2016,08/04/2016,FAI SWAM 5A,28.0,ug/m3,,1,1.0,1.0
99,GIARDINI MARGHERITA,08/04/2016,09/04/2016,FAI SWAM 5A,32.0,ug/m3,,1,1.0,1.0
100,GIARDINI MARGHERITA,09/04/2016,10/04/2016,FAI SWAM 5A,10.0,ug/m3,,1,1.0,1.0
101,GIARDINI MARGHERITA,10/04/2016,11/04/2016,FAI SWAM 5A,10.0,ug/m3,,1,1.0,1.0
102,GIARDINI MARGHERITA,11/04/2016,12/04/2016,FAI SWAM 5A,8.0,ug/m3,,1,1.0,1.0
103,GIARDINI MARGHERITA,12/04/2016,13/04/2016,FAI SWAM 5A,8.0,ug/m3,,1,1.0,1.0
104,GIARDINI MARGHERITA,13/04/2016,14/04/2016,FAI SWAM 5A,10.0,ug/m3,,1,1.0,1.0
105,GIARDINI MARGHERITA,14/04/2016,15/04/2016,FAI SWAM 5A,5.0,ug/m3,,1,1.0,1.0
106,GIARDINI MARGHERITA,15/04/2016,16/04/2016,FAI SWAM 5A,5.0,ug/m3,,1,1.0,1.0
107,GIARDINI MARGHERITA,16/04/2016,17/04/2016,FAI SWAM 5A,7.0,ug/m3,,1,1.0,1.0
108,GIARDINI MARGHERITA,17/04/2016,18/04/2016,FAI SWAM 5A,12.0,ug/m3,,1,1.0,1.0
109,GIARDINI MARGHERITA,18/04/2016,19/04/2016,FAI SWAM 5A,5.0,ug/m3,,1,1.0,1.0
110,GIARDINI MARGHERITA,19/04/2016,20/04/2016,FAI SWAM 5A,3.0,ug/m3,,1,1.0,1.0
111,GIARDINI MARGHERITA,20/04/2016,21/04/2016,FAI SWAM 5A,2.0,ug/m3,,1,1.0,1.0
112,GIARDINI MARGHERITA,21/04/2016,22/04/2016,FAI SWAM 5A,10.0,ug/m3,,1,1.0,1.0
113,GIARDINI MARGHERITA,22/04/2016,23/04/2016,FAI SWAM 5A,9.0,ug/m3,,1,1.0,1.0
114,GIARDINI MARGHERITA,23/04/2016,24/04/2016,FAI SWAM 5A,,ug/m3,,-1,-1.0,-1.0
115,GIARDINI MARGHERITA,24/04/2016,25/04/2016,FAI SWAM 5A,2.0,ug/m3,,1,1.0,-1.0
116,GIARDINI MARGHERITA,25/04/2016,26/04/2016,FAI SWAM 5A,0.0,ug/m3,,1,1.0,1.0
117,GIARDINI MARGHERITA,26/04/2016,27/04/2016,FAI SWAM 5A,4.0,ug/m3,,1,1.0,1.0
118,GIARDINI MARGHERITA,27/04/2016,28/04/2016,FAI SWAM 5A,4.0,ug/m3,,1,1.0,1.0
119,GIARDINI MARGHERITA,28/04/2016,29/04/2016,FAI SWAM 5A,9.0,ug/m3,,1,1.0,1.0
120,GIARDINI MARGHERITA,29/04/2016,30/04/2016,FAI SWAM 5A,7.0,ug/m3,,1,1.0,1.0
121,GIARDINI MARGHERITA,30/04/2016,01/05/2016,FAI SWAM 5A,7.0,ug/m3,,1,1.0,1.0
122,GIARDINI MARGHERITA,01/05/2016,02/05/2016,FAI SWAM 5A,7.0,ug/m3,,1,1.0,1.0
123,GIARDINI MARGHERITA,02/05/2016,03/05/2016,FAI SWAM 5A,8.0,ug/m3,,1,1.0,1.0
124,GIARDINI MARGHERITA,03/05/2016,04/05/2016,FAI SWAM 5A,6.0,ug/m3,,1,1.0,1.0
125,GIARDINI MARGHERITA,04/05/2016,05/05/2016,FAI SWAM 5A,5.0,ug/m3,,1,1.0,1.0
126,GIARDINI MARGHERITA,05/05/2016,06/05/2016,FAI SWAM 5A,7.0,ug/m3,,1,1.0,1.0
127,GIARDINI MARGHERITA,06/05/2016,07/05/2016,FAI SWAM 5A,8.0,ug/m3,,1,1.0,1.0
128,GIARDINI MARGHERITA,07/05/2016,08/05/2016,FAI SWAM 5A,12.0,ug/m3,,1,1.0,1.0
129,GIARDINI MARGHERITA,08/05/2016,09/05/2016,FAI SWAM 5A,10.0,ug/m3,,1,1.0,1.0
130,GIARDINI MARGHERITA,09/05/2016,10/05/2016,FAI SWAM 5A,14.0,ug/m3,,1,1.0,1.0
131,GIARDINI MARGHERITA,10/05/2016,11/05/2016,FAI SWAM 5A,25.0,ug/m3,,1,1.0,1.0
132,GIARDINI MARGHERITA,11/05/2016,12/05/2016,FAI SWAM 5A,18.0,ug/m3,,1,1.0,1.0
133,GIARDINI MARGHERITA,12/05/2016,13/05/2016,FAI SWAM 5A,2.0,ug/m3,,1,1.0,1.0
134,GIARDINI MARGHERITA,13/05/2016,14/05/2016,FAI SWAM 5A,4.0,ug/m3,,1,1.0,1.0
135,GIARDINI MARGHERITA,14/05/2016,15/05/2016,FAI SWAM 5A,6.0,ug/m3,,1,1.0,1.0
136,GIARDINI MARGHERITA,15/05/2016,16/05/2016,FAI SWAM 5A,3.0,ug/m3,,1,1.0,1.0
137,GIARDINI MARGHERITA,16/05/2016,17/05/2016,FAI SWAM 5A,6.0,ug/m3,,1,1.0,1.0
138,GIARDINI MARGHERITA,17/05/2016,18/05/2016,FAI SWAM 5A,4.0,ug/m3,,1,1.0,1.0
139,GIARDINI MARGHERITA,18/05/2016,19/05/2016,FAI SWAM 5A,8.0,ug/m3,,1,1.0,1.0
140,GIARDINI MARGHERITA,19/05/2016,20/05/2016,FAI SWAM 5A,6.0,ug/m3,,1,1.0,1.0
141,GIARDINI MARGHERITA,20/05/2016,21/05/2016,FAI SWAM 5A,9.0,ug/m3,,1,1.0,1.0
142,GIARDINI MARGHERITA,21/05/2016,22/05/2016,FAI SWAM 5A,9.0,ug/m3,,1,1.0,1.0
143,GIARDINI MARGHERITA,22/05/2016,23/05/2016,FAI SWAM 5A,9.0,ug/m3,,1,1.0,1.0
144,GIARDINI MARGHERITA,23/05/2016,24/05/2016,FAI SWAM 5A,4.0,ug/m3,,1,1.0,1.0
145,GIARDINI MARGHERITA,24/05/2016,25/05/2016,FAI SWAM 5A,3.0,ug/m3,,1,1.0,1.0
146,GIARDINI MARGHERITA,25/05/2016,26/05/2016,FAI SWAM 5A,6.0,ug/m3,,1,1.0,1.0
147,GIARDINI MARGHERITA,26/05/2016,27/05/2016,FAI SWAM 5A,6.0,ug/m3,,1,1.0,1.0
148,GIARDINI MARGHERITA,27/05/2016,28/05/2016,FAI SWAM 5A,12.0,ug/m3,,1,1.0,1.0
149,GIARDINI MARGHERITA,28/05/2016,29/05/2016,FAI SWAM 5A,15.0,ug/m3,,1,1.0,1.0
150,GIARDINI MARGHERITA,29/05/2016,30/05/2016,FAI SWAM 5A,10.0,ug/m3,,1,1.0,1.0
151,GIARDINI MARGHERITA,30/05/2016,31/05/2016,FAI SWAM 5A,2.0,ug/m3,,1,1.0,1.0
152,GIARDINI MARGHERITA,31/05/2016,01/06/2016,FAI SWAM 5A,4.0,ug/m3,,1,1.0,1.0
153,GIARDINI MARGHERITA,01/06/2016,02/06/2016,FAI SWAM 5A,3.0,ug/m3,,1,1.0,1.0
154,GIARDINI MARGHERITA,02/06/2016,03/06/2016,FAI SWAM 5A,4.0,ug/m3,,1,1.0,1.0
155,GIARDINI MARGHERITA,03/06/2016,04/06/2016,FAI SWAM 5A,6.0,ug/m3,,1,1.0,1.0
156,GIARDINI MARGHERITA,04/06/2016,05/06/2016,FAI SWAM 5A,7.0,ug/m3,,1,1.0,1.0
157,GIARDINI MARGHERITA,05/06/2016,06/06/2016,FAI SWAM 5A,8.0,ug/m3,,1,1.0,1.0
158,GIARDINI MARGHERITA,06/06/2016,07/06/2016,FAI SWAM 5A,9.0,ug/m3,,1,1.0,1.0
159,GIARDINI MARGHERITA,07/06/2016,08/06/2016,FAI SWAM 5A,10.0,ug/m3,,1,1.0,1.0
160,GIARDINI MARGHERITA,08/06/2016,09/06/2016,FAI SWAM 5A,16.0,ug/m3,,1,1.0,1.0
161,GIARDINI MARGHERITA,09/06/2016,10/06/2016,FAI SWAM 5A,8.0,ug/m3,,1,1.0,1.0
162,GIARDINI MARGHERITA,10/06/2016,11/06/2016,FAI SWAM 5A,14.0,ug/m3,,1,1.0,1.0
163,GIARDINI MARGHERITA,11/06/2016,12/06/2016,FAI SWAM 5A,6.0,ug/m3,,1,1.0,1.0
